2019/05/01 17:57:57, /delete_data.php?id=37, GET, vending_machine_map_ios/1 CFNetwork/978.0.7 Darwin/18.5.0, 60.121.148.98, softbank060121148098.bbtec.net, 
2019/05/01 18:35:05, /delete_data.php?id=42, GET, vending_machine_map_ios/1 CFNetwork/978.0.7 Darwin/18.5.0, 60.121.148.98, softbank060121148098.bbtec.net, 
2019/05/01 19:44:24, /delete_data.php?id=43, GET, vending_machine_map_ios/1 CFNetwork/978.0.7 Darwin/18.5.0, 60.121.148.98, softbank060121148098.bbtec.net, 
2019/05/03 20:29:36, /delete_data.php?id=39, GET, vending_machine_map_ios/1 CFNetwork/978.0.7 Darwin/18.5.0, 60.121.148.98, softbank060121148098.bbtec.net, 
2019/05/03 20:30:13, /delete_data.php?id=38, GET, vending_machine_map_ios/1 CFNetwork/978.0.7 Darwin/18.5.0, 60.121.148.98, softbank060121148098.bbtec.net, 
2019/05/04 11:11:12, /delete_data.php?id=44, GET, vending_machine_map_ios/1 CFNetwork/978.0.7 Darwin/18.5.0, 60.121.148.98, softbank060121148098.bbtec.net, 
2019/05/04 13:50:04, /delete_data.php?id=40, GET, vending_machine_map_ios/1.0.0 CFNetwork/978.0.7 Darwin/18.5.0, 60.121.148.98, softbank060121148098.bbtec.net, 
2019/05/04 23:08:43, /delete_data.php?id=47, GET, vending_machine_map_ios/1.0.1 CFNetwork/978.0.7 Darwin/18.5.0, 153.211.238.33, p15033-ipngn801okidate.aomori.ocn.ne.jp, 
2019/05/05 10:33:39, /delete_data.php?id=41, GET, vending_machine_map_ios/1.0.1 CFNetwork/978.0.7 Darwin/18.5.0, 126.146.117.168, ai126146117168.53.access-internet.ne.jp, 
2019/05/05 10:33:43, /delete_data.php?id=46, GET, vending_machine_map_ios/1.0.1 CFNetwork/978.0.7 Darwin/18.5.0, 126.146.117.168, ai126146117168.53.access-internet.ne.jp, 
2019/05/05 10:38:24, /delete_data.php?id=49, GET, vending_machine_map_ios/1.0.1 CFNetwork/978.0.7 Darwin/18.5.0, 126.146.117.168, ai126146117168.53.access-internet.ne.jp, 
2019/05/05 13:55:48, /delete_data.php?id=30, GET, vending_machine_map_ios/1.0.1 CFNetwork/978.0.7 Darwin/18.5.0, 126.146.117.168, ai126146117168.53.access-internet.ne.jp, 
2019/05/06 20:22:05, /delete_data.php?id=28, GET, vending_machine_map_ios/1.0.1 CFNetwork/978.0.7 Darwin/18.5.0, 60.121.148.98, softbank060121148098.bbtec.net, 
2019/05/07 16:47:27, /delete_data.php?id=52, GET, vending_machine_map_ios/1.0.1 CFNetwork/978.0.7 Darwin/18.5.0, 133.60.224.130, 133.60.224.130, 
2019/05/08 12:47:48, /delete_data.php?id=54, GET, Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/74.0.3729.131 Safari/537.36, 133.60.112.171, 133.60.112.171, http://zihankimap.work/
2019/05/08 16:41:19, /delete_data.php?id=45, GET, vending_machine_map_ios/1.0.2 CFNetwork/978.0.7 Darwin/18.5.0, 133.60.112.171, 133.60.112.171, 
